2318,"6"" WATER TURTLE               ",58
2319,"17"" FROGS ON LILY PADS - PLUMB",143
2322,FROGS ON GARDEN STUMP-PLUMBED ,178
2323,"30"" DOLPHIN - PLUMBED         ",490
2324,"11"" SITTING OTTER-PLUMBED     ",75
2325,SMALL TURTLE - PLUMBED        ,53
2326,"9"" PLAYFUL OTTER              ",75
2327,"13"" OTTER FAMILY-PLUMBED      ",190
2329,LARGE BULL FROG - PLUMBED     ,80
2330,MEDIUM TURTLE - PLUMBED       ,70
2331,MEDIUM BULL FROG - PLUMBED    ,58
2332,GONE FISHIN' - BOY PLUMBED    ,275
2333,"26"" LEPRECHAUN AND ACCORDION  ",233
2334,GONE FISHIN - GIRL PLUMBED    ,275
2335,LARGE TURTLE - PLUMBED        ,88
2336,SITTING OTTER - PLUMBED       ,93
2337,OTTER COUPLE - PLUMBED        ,143
2338,LYING OTTER - PLUMBED         ,88
2339,PLAYFUL RACCOON               ,195
2341,"21"" LEPRECHAUN AND MUSHROOM   ",233
2344,"6"" DIMPLE FROG                ",45
2346,"10"" GARDEN TURTLE             ",50
2347,"7"" DIMPLE FROG                ",60
2348,PETITE PETAL FTN - FINIAL BASE,348
2349,WELCOME FROGS                 ,128
2351,"29"" TREE WIZARD               ",250
2352,GIANT TORTOISE                ,728
2353,HOWIE                         ,58
2354,HENRY                         ,58
2356,HERBERT                       ,58
2357,HUGO                          ,58
2358,HARRY                         ,58
2359,LARGE TORTOISE                ,258
2360,MUSHROOM AND PIXIE            ,98
2361,LARGE BUTTERFLY               ,268
2362,MUSHROOM CLUSTER              ,100
2363,"15"" MEDIUM MUSHROOM CLUSTER   ",83
2364,"11"" SMALL MUSHROOM CLUSTER    ",58
2365,"21"" MUSHROOM SEAT             ",185
2366,"29"" THINKING TREE             ",250
2367,"21"" RESTING DWARF             ",128
2368,"8"" MEDIUM TORTOISE            ",95
2369,"8"" SMALL TORTOISE             ",60
2370,LARGE MUSHROOM CLUSTER        ,135
2371,"7"" SMALL TORTOISE             ",45
2372,"5"" EXTRA SMALL TORTOISE       ",35
2373,"7"" PEACE SHELL TURTLE         ",65
2374,"26"" BOULDER (PLUMBED)         ",265
2390,LG POND PALS-ASSORT. SET OF 9 ,503
2391,LARGE POND PAL - SNAIL        ,58
2392,LARGE POND PAL - LADYBUG      ,58
2393,LARGE POND PAL - MOUSE        ,58
2394,LARGE POND PAL - FROG         ,58
2396,LARGE POND PAL - SALAMANDER   ,58
2397,LARGE POND PAL - BUTTERFLY    ,58
2398,LARGE POND PAL - TURTLE       ,58
2399,LARGE POND PAL - WORM         ,58
2401,LARGE POND PAL - GRASSHOPPER  ,58
2445,"19"" LARGE GNOME WITH SHOVEL   ",105
2455,LARGE ACCORDIAN GNOME         ,93
2460,LARGE LANTERN GNOME           ,93
2465,LARGE READING GNOME           ,93
2470,LARGE MOUNTAIN CLIMBER GNOME  ,93
2475,LARGE WOODCHOPPER GNOME       ,93
2490,LAYDOWN PIPE GNOME            ,105
2495,SITTING PIPE GNOME            ,105
2525,LG HUCK FINN-PED NOT INCLUDED ,265
2526,SMALL READING BOY (ROCK SOLD S,190
2527,MAG-DRIVE 700GPH PUMP         ,185
2527,SMALL GIRL KNEELING           ,143
2528,SM HUCK FINN-PED NOT INCLUDED ,165
2529,"21"" FISHING GIRL              ",165
2545,"15"" RECLINING GNOME           ",105
2550,"18"" GNOME FISHING             ",105
2555,"17"" GNOME WITH RABBIT         ",105
2560,"13"" GNOME WITH MUSHROOMS      ",118
2565,"18"" GNOME WITH SHOVEL         ",105
2570,"29"" LARGE LANTERN GNOME W LTRN",260
2575,"17"" GNOME - WELCOME           ",105
2580,"19"" GNOME AND BUNNIES         ",105
2585,"19"" GNOME AND TORTOISE        ",118
2590,"19"" GNOME GIRL WITH BUNNY     ",105
2595,LARGE HORSE                   ,825
2605,HORSE - PAGE DS26             ,458
2610,UNICORN - PAGE DS26           ,603
2615,HITCHING POST                 ,183
2617,515GPH PUMP                   ,143
2620,SMALL JOCKEY WITH LANTERN     ,288
2625,MEDIUM JOCKEY WITH LANTERN    ,360
2630,LARGE JOCKEY - LEFT W LANTERN ,478
2631,LARGE JOCKEY - RIGHT W LANTERN,478
2635,SITTING INDIAN                ,145
2640,CIGAR STORE INDIAN            ,343
2645,BRAVE                         ,240
2660,LARGE DONKEY CART             ,338
2665,STANDING MEXICAN              ,163
2670,HY DRIVE 4800GPH PUMP         ,638
2685,DONKEY AND PACKS              ,185
2691,CACTUS                        ,185
2700,"14"" BEAGLE PUP                ",113
2710,GERMAN SHEPHERD               ,368
2715,"29"" BOXER                     ",338
2720,MAG-DRIVE 950GPH PUMP         ,233
2720,"22"" BEAGLE                    ",195
2725,BULL DOG - PAGE DS20          ,75
2728,MAG-DRIVE 1800GPH PUMP        ,370
2735,"16"" DACHSHUND                 ",138
2750,MAG-DRIVE 2400GPH PUMP        ,473
2760,MEDIUM FOX                    ,105
2761,SMALL FOX                     ,65
2762,SITTING HUNTER BOY FOX        ,260
2763,SITTING HUNTER GIRL FOX       ,260
2775,LARGE FOX                     ,135
2776,COLLIE - PAGE DS20            ,105
2780,SMALL FIRE PLUG - PAGE DS20   ,80
2785,LARGE FIRE PLUG - PAGE DS20   ,103
2795,CAT                           ,60
2810,CROUCHING CAT                 ,80
2815,RABBIT SET                    ,113
2816,"8"" SITTING RABBIT             ",53
2817,"7"" ROLLOVER RABBIT            ",53
2818,"22"" STANDING BEAR             ",143
2820,DUCK SET                      ,138
2825,GEESE SET                     ,138
2830,HEN SET                       ,138
2831,PETITE BIRD                   ,38
2832,"12"" SITTING RABBIT            ",80
2833,PEEK A BOO RABBIT             ,65
2834,"12"" RABBIT                    ",65
2835,SITTING PIG                   ,88
2836,"16"" SITTING UP RABBIT         ",65
2837,"22"" MRS. PIG                  ",135
2838,"24"" MR. BUNNY                 ",118
2839,"22"" MRS. BUNNY                ",118
2840,ROOSTER                       ,75
2841,"21"" MR. PIG                   ",135
2842,PLAIN SLEEPING CAT            ,80
2843,LARGE ROOSTER                 ,98
2844,WALKING CAT - PAGE DS16       ,118
2846,"15"" SITTING CAT - PAGE DS16   ",83
2847,LAYDOWN CAT AND KITTEN-PG DS16,83
2848,"13"" JACK RUSSELL TERIER-PGDS20",88
2849,PLAIN LAYDOWN CAT             ,80
2851,PLAIN CAT LICKING PAW         ,80
2852,PLAIN STANDING CAT            ,93
2853,"25"" SHEEPDOG                  ",360
2854,"14"" STANDING PIG              ",135
2856,"18"" SITTING PIG               ",135
2857,"11"" LAYDOWN PIG               ",135
2858,"15"" PANDA BEAR                ",135
2859,"25"" PANDA BEAR                ",393
2860,SQUIRREL SET                  ,113
2861,"27"" THINKING MONKEY           ",343
2862,"15"" SQUIRREL ON STUMP         ",88
2863,"16"" TWIN SQUIRRELS ON STUMP   ",98
2864,"10"" SQUIRREL WITH NUT ON LOG  ",88
2866,"20"" SITTING ELEPHANT - PLUMBED",180
2867,KING OF THE ROOST             ,143
2868,"8"" GARDEN BIRD PERCHING       ",48
2869,FLYING OWL                    ,640
2870,LARGE BIRD ON STUMP           ,58
2871,FRENCH CHICKEN                ,85
2872,HORSE BUST                    ,410
2915,PENGUIN                       ,58
2920,LARGE PENGUIN                 ,73
2950,FLAMINGO-STANDING             ,145
2955,FLAMINGO-FEEDING              ,145
2962,"12"" OWL                       ",63
2964,"18"" OWL                       ",93
2965,MEDIUM OWL                    ,83
2970,LARGE OWL                     ,143
2975,EAGLE IN FLIGHT               ,103
2985,LARGE SWAN                    ,128
2991,STANDING BEAR WITH CUB-PAGE139,103
